,,total_model_cost,total_model_cost,total_model_latency,total_model_latency,accuracy,accuracy,f1_score,f1_score
HV,60,1208.9802,,601994066.3401,,0.7726,,0.4783,
HV,70,1212.3939,,601115410.1213,,0.7719,,0.4865,
HV,80,1208.8876,,600753060.4538,,0.7728,,0.4791,
HV,90,1209.3937,,602550095.3742,,0.7725,,0.4788,
HV,99,1208.6267,,602504595.4035,,0.774,,0.4846,
KNN,1,1258.2714,,302954422.3749,,0.7729,,0.613,
KNN,10,1260.5012,,304694069.2353,,0.7718,,0.6135,
KNN,20,1260.2374,,300735729.7435,,0.7719,,0.6133,
KNN,30,1265.5378,,304742668.7261,,0.77,,0.617,
KNN,40,1258.6112,,303437653.065,,0.7727,,0.613,
KNN,50,1407.7732,,282893592.853,,0.6625,,0.5361,
KNN,60,1239.6465,,359232484.2287,,0.7711,,0.5637,
KNN,70,1242.5626,,348209035.6676,,0.7703,,0.5677,
KNN,80,1244.3023,,349925152.4898,,0.7699,,0.5702,
KNN,90,1242.7728,,406976430.2255,,0.7692,,0.5635,
KNN,99,1243.0881,,345646736.6067,,0.7691,,0.564,
LR,1,1927.9575,,219033896.2759,,0.311,,0.4744,
LR,10,1909.7214,,226910522.7109,,0.32,,0.4692,
LR,20,1824.852,,245025376.4555,,0.3802,,0.4809,
LR,30,1221.7164,,300258497.6863,,0.7949,,0.6189,
LR,40,1206.3931,,324829595.0239,,0.7819,,0.5198,
LR,50,1209.9477,,614737716.003,,0.7664,,0.4449,
LR,60,1213.6418,,629870627.481,,0.7558,,0.3927,
LR,70,1216.2642,,636905225.5774,,0.7491,,0.3581,
LR,80,1218.6795,,648608746.506,,0.7433,,0.3279,
LR,90,1220.4499,,657938566.7054,,0.7392,,0.306,
LR,99,1222.1711,,664092191.358,,0.735,,0.2819,
ONL,1,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,10,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,20,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,30,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,40,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,50,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,60,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,70,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,80,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,90,1269.2445,,290888342.2147,,0.7738,,0.6367,
ONL,99,1269.2445,,290888342.2147,,0.7738,,0.6367,
RF,1,1276.8027,,310730042.7432,,0.7649,,0.621,
RF,10,1267.3938,,302865356.8313,,0.7692,,0.6179,
RF,20,1257.8344,,306478766.5399,,0.7737,,0.6147,
RF,30,1254.869,,308646856.4505,,0.7741,,0.6103,
RF,40,1244.02,,311832394.8762,,0.7791,,0.606,
RF,50,1243.7437,,315584000.7923,,0.7779,,0.601,
RF,60,1241.9538,,319066394.772,,0.7761,,0.5901,
RF,70,1227.9418,,329420232.2558,,0.7793,,0.5693,
RF,80,1226.3285,,335696524.5836,,0.7789,,0.5636,
RF,90,1217.581,,346093100.896,,0.7813,,0.5507,
RF,99,1214.1549,,366849859.4489,,0.7794,,0.5313,
SV,1,1283.4612,,290942267.7156,,0.7648,,0.6326,
SV,10,1279.0614,,293509962.3111,,0.7662,,0.6293,
SV,20,1260.8688,,297770821.0165,,0.775,,0.6253,
SV,30,1252.794,,299635070.3961,,0.7774,,0.6181,
SV,40,1240.631,,303605703.2074,,0.7817,,0.6087,
SV,50,1230.7142,,314594585.3998,,0.7827,,0.5906,
SV,60,1220.6734,,320192760.9886,,0.783,,0.5667,
SV,70,1211.7069,,326452520.4835,,0.7831,,0.5422,
SV,80,1207.7348,,333734853.5736,,0.7793,,0.5107,
SV,90,1207.3134,,343371708.0463,,0.7731,,0.4747,
SV,99,1209.252,,352959120.2873,,0.7646,,0.4314,
SV-Grid,1,1286.5428,,292964801.1128,,0.7622,,0.6297,
SV-Grid,10,1271.8309,,295093515.7742,,0.7696,,0.6275,
SV-Grid,20,1263.9076,,297551637.3334,,0.7724,,0.6221,
SV-Grid,30,1254.0009,,298198730.0316,,0.7763,,0.6163,
SV-Grid,40,1238.9673,,305029604.2661,,0.782,,0.6063,
SV-Grid,50,1225.8189,,314470427.4957,,0.7851,,0.5888,
SV-Grid,60,1218.9697,,319522027.3818,,0.7841,,0.5672,
SV-Grid,70,1218.358,,327464846.653,,0.7792,,0.5428,
SV-Grid,80,1208.1031,,331723531.5546,,0.7807,,0.519,
SV-Grid,90,1207.7174,,344695106.5579,,0.7745,,0.4845,
SV-Grid,99,1209.1431,,356608581.6168,,0.7655,,0.4365,
SVML,1,1909.7214,,226910522.7109,,0.32,,0.4692,
SVML,10,1909.6837,,228833581.7439,,0.3158,,0.4609,
SVML,20,1694.6356,,252988764.9586,,0.4725,,0.5025,
SVML,30,1216.7797,,307872353.5793,,0.7937,,0.6027,
SVML,40,1208.5231,,321901860.9539,,0.7824,,0.5294,
SVML,50,1209.0427,,609951929.8556,,0.7708,,0.4681,
SVML,60,1212.6307,,619638038.191,,0.7604,,0.4187,
SVML,70,1215.0036,,629652663.2544,,0.7538,,0.3855,
SVML,80,1216.6169,,640119123.5233,,0.7493,,0.3616,
SVML,90,1218.8091,,648364235.7934,,0.7442,,0.3355,
SVML,99,1220.6285,,654171846.8184,,0.7399,,0.3123,
SVMR,1,1719.9808,,258127834.1984,,0.4517,,0.4914,
SVMR,10,1558.6618,,278721356.4821,,0.5655,,0.523,
SVMR,20,1230.0876,,302779474.9261,,0.7878,,0.6094,
SVMR,30,1217.3729,,310713033.8632,,0.7851,,0.5675,
SVMR,40,1213.0598,,317170562.1795,,0.7807,,0.5347,
SVMR,50,1211.8285,,323130475.0761,,0.7758,,0.5054,
SVMR,60,1211.5609,,603885280.1211,,0.7713,,0.4803,
SVMR,70,1212.4134,,612372262.5486,,0.7664,,0.4551,
SVMR,80,1213.165,,617239545.8028,,0.7626,,0.4348,
SVMR,90,1214.681,,623706299.6903,,0.7584,,0.4146,
SVMR,99,1215.6268,,630528083.8847,,0.7547,,0.3946,
